slug_5m,start_epoch_5m,opening_mid_up,opening_imbalance,opening_spread,entry_price_up,entry_price_down,winner,slug_4h,start_epoch_4h,end_epoch_4h,median_spread,median_imbalance,median_mid,spread_std,imbalance_std,total_depth,mid_distance_from_half,regime,side,entry_price,fee,cost,won,payout,pnl_per_token,total_pnl
btc-updown-5m-1771351800,1771351800,0.495,-0.15501102216874046,0.010000000000000009,0.53,0.48,Up,btc-updown-4h-1771333200,1771333200,1771347600,0.039999999999999994,0.0069264124716653715,0.31,0.028177204990375324,0.3776243390224634,3714.84,0.19,discovery,Down,0.48,0.00016596762623999998,0.48016596762624,False,0.0,-0.48016596762624,-4.8016596762624
btc-updown-5m-1771352400,1771352400,0.51,-0.2497727054545044,0.020000000000000018,0.88,0.13,Up,btc-updown-4h-1771333200,1771333200,1771347600,0.039999999999999994,0.0069264124716653715,0.31,0.028177204990375324,0.3776243390224634,3714.84,0.19,discovery,Down,0.13,9.229146615000001e-06,0.130009229146615,False,0.0,-0.130009229146615,-1.3000922914661501
btc-updown-5m-1771354200,1771354200,0.505,0.2497308354866494,0.010000000000000009,0.53,0.49,Up,btc-updown-4h-1771333200,1771333200,1771347600,0.039999999999999994,0.0069264124716653715,0.31,0.028177204990375324,0.3776243390224634,3714.84,0.19,discovery,Up,0.53,0.00018252245761499997,0.530182522457615,True,1.0,0.469817477542385,4.69817477542385
btc-updown-5m-1771355100,1771355100,0.525,0.307861318273367,0.010000000000000009,0.48,0.53,Up,btc-updown-4h-1771333200,1771333200,1771347600,0.039999999999999994,0.0069264124716653715,0.31,0.028177204990375324,0.3776243390224634,3714.84,0.19,discovery,Up,0.48,0.00016596762623999998,0.48016596762624,True,1.0,0.51983403237376,5.1983403237376
btc-updown-5m-1771358700,1771358700,0.585,0.32604551285231353,0.010000000000000009,0.49,0.52,Down,btc-updown-4h-1771333200,1771333200,1771347600,0.039999999999999994,0.0069264124716653715,0.31,0.028177204990375324,0.3776243390224634,3714.84,0.19,discovery,Up,0.49,0.00016983280219500004,0.490169832802195,False,0.0,-0.490169832802195,-4.90169832802195
btc-updown-5m-1771363800,1771363800,0.51,0.2964226150285949,0.020000000000000018,0.41,0.6,Down,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.41,0.00013315227055500005,0.41013315227055497,False,0.0,-0.41013315227055497,-4.10133152270555
btc-updown-5m-1771366200,1771366200,0.54,0.15329020616577727,0.020000000000000018,0.56,0.46,Up,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.56,0.00018869587968,0.56018869587968,True,1.0,0.43981130412032,4.3981130412031995
btc-updown-5m-1771366800,1771366800,0.505,0.19346974661635774,0.010000000000000009,0.68,0.34,Up,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.68,0.00017869799424000002,0.68017869799424,True,1.0,0.31982130200576,3.1982130200576
btc-updown-5m-1771367100,1771367100,0.51,-0.1738106574358843,0.020000000000000018,0.45,0.57,Up,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Down,0.57,0.00019004413063500002,0.5701900441306349,False,0.0,-0.5701900441306349,-5.701900441306349
btc-updown-5m-1771369200,1771369200,0.51,0.1530581606192361,0.0,0.42,0.6,Down,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.42,0.00013832377776000002,0.42013832377776,False,0.0,-0.42013832377776,-4.2013832377776
btc-updown-5m-1771369500,1771369500,0.525,0.17156220949784767,0.050000000000000044,0.61,0.41,Down,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.61,0.00019160714605500001,0.610191607146055,False,0.0,-0.610191607146055,-6.1019160714605505
btc-updown-5m-1771372200,1771372200,0.505,-0.2011172228260451,0.010000000000000009,0.53,0.49,Down,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Down,0.49,0.00016983280219500004,0.490169832802195,True,1.0,0.5098301671978049,5.098301671978049
btc-updown-5m-1771372800,1771372800,0.505,0.1846029530595754,0.010000000000000009,0.56,0.46,Up,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.56,0.00018869587968,0.56018869587968,True,1.0,0.43981130412032,4.3981130412031995
btc-updown-5m-1771373400,1771373400,0.495,0.21439095289292406,0.010000000000000009,0.45,0.56,Up,btc-updown-4h-1771347600,1771347600,1771362000,0.040000000000000036,-0.0034727009994077766,0.6799999999999999,0.01780427464143882,0.2975515361068112,3740.0,0.17999999999999994,discovery,Up,0.45,0.00015298748437500003,0.450152987484375,True,1.0,0.549847012515625,5.498470125156249
