slug,spread,deep_ratio,deep_bid,deep_ask,up_ask,down_ask,winner,mid_price_up
btc-updown-5m-1770859200,0.09999999999999998,0.0,0.0,85.58,0.3,0.8,Down,0.25
btc-updown-5m-1770859800,0.27,0.19613168041792778,94.61,387.77,0.42,0.85,Down,0.285
btc-updown-5m-1770865800,0.83,0.522145742929822,837.48,766.44,0.94,0.89,Down,0.525
btc-updown-5m-1770866400,0.10999999999999999,0.910093975200791,1279.31,126.38,0.74,0.37,Down,0.685
btc-updown-5m-1770866700,0.52,0.9744659788183687,2283.7000000000003,59.84,0.67,0.85,Down,0.41000000000000003
btc-updown-5m-1770867300,0.06999999999999995,1.0,301.15,0.0,0.99,0.08,Up,0.9550000000000001
btc-updown-5m-1770867600,0.09,0.6259053939222272,154.68,92.45,0.19,0.9,Up,0.14500000000000002
btc-updown-5m-1770870600,0.79,0.7468227921613116,552.97,187.45999999999998,0.9,0.89,Down,0.505
btc-updown-5m-1770876900,0.13,0.4036463273263779,191.51,282.94,0.46,0.67,Up,0.395
btc-updown-5m-1770878400,0.6100000000000001,0.9036147248509563,3261.76,347.92,0.68,0.93,Up,0.375
btc-updown-5m-1770881700,0.29000000000000004,1.0,22.09,0.0,0.99,0.3,Up,0.845
btc-updown-5m-1770882300,0.92,0.0,0.0,293.86,0.93,0.99,Up,0.47000000000000003
btc-updown-5m-1770882600,0.15000000000000002,0.9669518726644641,1027.28,35.11,0.2,0.95,Down,0.125
btc-updown-5m-1770884400,0.32000000000000006,0.047320104735165146,15.0,301.99,0.9,0.42,Up,0.74
btc-updown-5m-1770885300,0.08000000000000002,0.9921027603759562,2576.6,20.51,0.46,0.62,Up,0.42000000000000004
btc-updown-5m-1770885600,0.22999999999999998,0.0007139548019013409,36.0,50387.36,0.63,0.6,Down,0.515
btc-updown-5m-1770886800,0.22000000000000003,0.0,0.0,354.46999999999997,0.34,0.88,Down,0.23
btc-updown-5m-1770890400,0.27,0.3979362101313321,233.31,352.99,0.52,0.75,Down,0.385
